epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,675.25,0.40731,0.45262,0.27072,0.80121,0.98696,1,0.995,0.7975,0.98696,1,0.995,0.7886,0.79601,1.01938,0.40173,0.87837,0.0011486,0.0011486,0.0011486
45,688.012,0.4,0.4714,0.27568,0.81616,0.98566,1,0.99475,0.8061,0.98566,1,0.99475,0.80279,0.79442,0.92677,0.37978,0.87264,0.0011288,0.0011288,0.0011288
46,700.28,0.41358,0.49253,0.27512,0.81074,0.98626,1,0.99475,0.82279,0.98626,1,0.99475,0.80744,0.73346,0.89125,0.36222,0.86535,0.001109,0.001109,0.001109
47,713.336,0.38482,0.46051,0.25948,0.79648,0.98941,0.98718,0.99487,0.81565,0.98941,0.98718,0.99487,0.79646,0.72109,0.90815,0.34662,0.86379,0.0010892,0.0010892,0.0010892
48,725.711,0.38799,0.45114,0.26212,0.8112,0.97486,1,0.99449,0.80455,0.97486,1,0.99449,0.80935,0.76303,0.84848,0.3634,0.86955,0.0010694,0.0010694,0.0010694
49,739.581,0.38305,0.44479,0.25214,0.80318,0.99896,1,0.995,0.82137,0.99896,1,0.995,0.81968,0.73356,0.83234,0.34461,0.86144,0.0010496,0.0010496,0.0010496
50,752.29,0.36261,0.42813,0.24893,0.78536,0.99862,1,0.995,0.80351,0.99862,1,0.995,0.81594,0.77146,0.87888,0.37694,0.87173,0.0010298,0.0010298,0.0010298
51,766.279,0.3749,0.41888,0.24808,0.78796,0.99889,1,0.995,0.81364,0.99889,1,0.995,0.82031,0.74864,0.91346,0.36565,0.86119,0.00101,0.00101,0.00101
52,778.883,0.35675,0.41534,0.24027,0.7909,0.99913,1,0.995,0.82734,0.99913,1,0.995,0.82764,0.73011,0.89723,0.34329,0.8573,0.0009902,0.0009902,0.0009902
53,791.255,0.34787,0.41396,0.23273,0.79022,0.99925,1,0.995,0.84019,0.99925,1,0.995,0.82115,0.71525,0.93509,0.32733,0.86435,0.0009704,0.0009704,0.0009704
54,803.716,0.34934,0.42887,0.23455,0.79228,0.99886,1,0.995,0.82751,0.99886,1,0.995,0.80796,0.71894,0.94816,0.32984,0.85881,0.0009506,0.0009506,0.0009506
55,817.39,0.32191,0.41163,0.22544,0.77019,0.99621,1,0.995,0.81848,0.99621,1,0.995,0.81225,0.71395,0.99008,0.33908,0.85564,0.0009308,0.0009308,0.0009308
56,831.103,0.32163,0.4055,0.23002,0.79013,0.98733,0.99943,0.99487,0.83513,0.98733,0.99943,0.99487,0.8164,0.69224,1.05856,0.33307,0.85607,0.000911,0.000911,0.000911
57,844.896,0.32118,0.40607,0.22561,0.79405,0.99915,1,0.995,0.8142,0.99915,1,0.995,0.81913,0.75439,1.06349,0.34596,0.85845,0.0008912,0.0008912,0.0008912
58,857.72,0.33572,0.40149,0.23009,0.7829,0.98636,1,0.99487,0.81265,0.99159,1,0.995,0.82502,0.73932,0.98229,0.34727,0.85522,0.0008714,0.0008714,0.0008714
59,870.599,0.32477,0.38761,0.22245,0.79614,1,0.99934,0.995,0.82832,1,0.99934,0.995,0.81936,0.70515,0.97942,0.33232,0.85341,0.0008516,0.0008516,0.0008516
60,884.727,0.31752,0.3871,0.22331,0.78652,0.99956,1,0.995,0.8391,0.99956,1,0.995,0.8152,0.71705,0.98228,0.33707,0.85313,0.0008318,0.0008318,0.0008318
